Time_s,Phi_query_deg,Theta_query_deg
15,180,124.06636332779
15.1,180,123.746101916153
15.2,180,123.43111130426
15.3,180,123.121281013641
15.4,180,122.816502948466
15.5,180,122.516671365493
15.6,180,122.221682842032
15.7,180,121.931436242204
15.8,180,121.645832681744
15.9,180,121.364775491576
16,180,121.088170180362
16.1,180,120.81592439623
16.2,180,120.547947887834
16.3,180,120.28415246492
16.4,180,120.024451958524
16.5,180,119.768762180952
16.6,180,119.517000885629
16.7,180,119.269087726946
16.8,180,119.024944220184
16.9,180,118.784493701605
17,180,118.547661288779
17.1,180,118.314373841223
17.2,180,118.084559921394
17.3,180,117.858149756104
17.4,180,117.635075198395
17.5,180,117.415269689912
17.6,180,117.198668223809
17.7,180,116.985207308218
17.8,180,116.77482493031
17.9,180,116.567460520956
18,180,116.363054920021
18.1,180,116.161550342291
18.2,180,115.962890344054
18.3,180,115.767019790334
18.4,180,115.573884822796
18.5,180,115.383432828309
18.6,180,115.19561240818
18.7,180,115.010373348061
18.8,180,114.827666588514
18.9,180,114.647444196246
19,180,114.469659335992
19.1,180,114.294266243064
19.2,180,114.121220196532
19.3,180,113.950477493056
19.4,180,113.781995421334
19.5,180,113.615732237188
19.6,180,113.451647139244
19.7,180,113.289700245229
19.8,180,113.129852568851
19.9,180,112.972065997259
20,180,112.816303269086
20.1,180,112.66252795303
20.2,180,112.510704427003
20.3,180,112.360797857808
20.4,180,112.212774181336
20.5,180,112.066600083288
20.6,180,111.922242980391
20.7,180,111.779671002109
20.8,180,111.638852972831
20.9,180,111.499758394529
21,180,111.362357429873
21.1,180,111.226620885793
21.2,180,111.092520197471
21.3,180,110.960027412764
21.4,180,110.829115177037
21.5,180,110.699756718398
21.6,180,110.571925833329
21.7,180,110.4455968727
21.8,180,110.320744728147
21.9,180,110.197344818828
22,180,110.075373078517
22.1,180,109.954805943053
22.2,180,109.835620338116
22.3,180,109.717793667337
22.4,180,109.601303800714
22.5,180,109.486129063349
22.6,180,109.372248224473
22.7,180,109.259640486774
22.8,180,109.148285475996
22.9,180,109.03816323083
23,180,108.929254193057
23.1,180,108.821539197964
23.2,180,108.714999465007
23.3,180,108.609616588725
23.4,180,108.505372529893
23.5,180,108.402249606904
23.6,180,108.300230487385
23.7,180,108.199298180027
23.8,180,108.099436026633
23.9,180,108.000627694372
24,180,107.902857168241
24.1,180,107.806108743714
24.2,180,107.710367019591
24.3,180,107.615616891029
24.4,180,107.521843542757
24.5,180,107.429032442461
24.6,180,107.337169334346
24.7,180,107.246240232863
24.8,180,107.156231416589
24.9,180,107.067129422281
25,180,106.978921039064
25.1,180,106.89159330278
25.2,180,106.805133490475
25.3,180,106.719529115033
25.4,180,106.634767919933
25.5,180,106.550837874156
25.6,180,106.467727167206
25.7,180,106.385424204265
25.8,180,106.303917601465
25.9,180,106.223196181283
26,180,106.143248968049
26.1,180,106.06406518356
26.2,180,105.985634242817
26.3,180,105.907945749854
26.4,180,105.830989493677
26.5,180,105.754755444304
26.6,180,105.679233748899
26.7,180,105.604414728001
26.8,180,105.530288871848
26.9,180,105.456846836792
27,180,105.384079441794
27.1,180,105.311977665012
27.2,180,105.240532640468
27.3,180,105.169735654795
27.4,180,105.099578144065
27.5,180,105.030051690689
27.6,180,104.961148020396
27.7,180,104.892858999279
27.8,180,104.825176630919
27.9,180,104.758093053567
28,180,104.6916005374
28.1,180,104.625691481843
28.2,180,104.560358412945
28.3,180,104.495593980829
28.4,180,104.431390957189
28.5,180,104.367742232855
28.6,180,104.304640815414
28.7,180,104.242079826876
28.8,180,104.180052501409
28.9,180,104.118552183112
29,180,104.057572323853
