Time_s,Lat_deg,Lon_deg,Alt_m,Yaw_deg,Pitch_deg,Roll_deg
10.5,39.9100597937474,116.3,1670.10111744307,0,0,0
10.6,39.9103292883326,116.3,1670.10111744307,0,0,0
10.7,39.9105987829178,116.3,1670.10111744307,0,0,0
10.8,39.9108682775031,116.3,1670.10111744307,0,0,0
10.9,39.9111377720883,116.3,1670.10111744307,0,0,0
11,39.9114072666735,116.3,1670.10111744307,0,0,0
11.1,39.9116767612588,116.3,1670.10111744307,0,0,0
11.2,39.911946255844,116.3,1670.10111744307,0,0,0
11.3,39.9122157504293,116.3,1670.10111744307,0,0,0
11.4,39.9124852450145,116.3,1670.10111744307,0,0,0
11.5,39.9127547395997,116.3,1670.10111744307,0,0,0
11.6,39.913024234185,116.3,1670.10111744307,0,0,0
11.7,39.9132937287702,116.3,1670.10111744307,0,0,0
11.8,39.9135632233554,116.3,1670.10111744307,0,0,0
11.9,39.9138327179407,116.3,1670.10111744307,0,0,0
12,39.9141022125259,116.3,1670.10111744307,0,0,0
12.1,39.9143717071111,116.3,1670.10111744307,0,0,0
12.2,39.9146412016964,116.3,1670.10111744307,0,0,0
12.3,39.9149106962816,116.3,1670.10111744307,0,0,0
12.4,39.9151801908669,116.3,1670.10111744307,0,0,0
12.5,39.9154496854521,116.3,1670.10111744307,0,0,0
12.6,39.9157191800373,116.3,1670.10111744307,0,0,0
12.7,39.9159886746226,116.3,1670.10111744307,0,0,0
12.8,39.9162581692078,116.3,1670.10111744307,0,0,0
12.9,39.916527663793,116.3,1670.10111744307,0,0,0
13,39.9167971583783,116.3,1670.10111744307,0,0,0
13.1,39.9170666529635,116.3,1670.10111744307,0,0,0
13.2,39.9173361475487,116.3,1670.10111744307,0,0,0
13.3,39.917605642134,116.3,1670.10111744307,0,0,0
13.4,39.9178751367192,116.3,1670.10111744307,0,0,0
13.5,39.9181446313045,116.3,1670.10111744307,0,0,0
13.6,39.9184141258897,116.3,1670.10111744307,0,0,0
13.7,39.9186836204749,116.3,1670.10111744307,0,0,0
13.8,39.9189531150602,116.3,1670.10111744307,0,0,0
13.9,39.9192226096454,116.3,1670.10111744307,0,0,0
14,39.9194921042306,116.3,1670.10111744307,0,0,0
14.1,39.9197615988159,116.3,1670.10111744307,0,0,0
14.2,39.9200310934011,116.3,1670.10111744307,0,0,0
14.3,39.9203005879863,116.3,1670.10111744307,0,0,0
14.4,39.9205700825716,116.3,1670.10111744307,0,0,0
14.5,39.9208395771568,116.3,1670.10111744307,0,0,0
14.6,39.921109071742,116.3,1670.10111744307,0,0,0
14.7,39.9213785663273,116.3,1670.10111744307,0,0,0
14.8,39.9216480609125,116.3,1670.10111744307,0,0,0
14.9,39.9219175554977,116.3,1670.10111744307,0,0,0
15,39.922187050083,116.3,1670.10111744307,0,0,0
15.1,39.9224565446682,116.3,1670.10111744307,0,0,0
15.2,39.9227260392535,116.3,1670.10111744307,0,0,0
15.3,39.9229955338387,116.3,1670.10111744307,0,0,0
15.4,39.9232650284239,116.3,1670.10111744307,0,0,0
15.5,39.9235345230092,116.3,1670.10111744307,0,0,0
15.6,39.9238040175944,116.3,1670.10111744307,0,0,0
15.7,39.9240735121796,116.3,1670.10111744307,0,0,0
15.8,39.9243430067649,116.3,1670.10111744307,0,0,0
15.9,39.9246125013501,116.3,1670.10111744307,0,0,0
16,39.9248819959353,116.3,1670.10111744307,0,0,0
16.1,39.9251514905206,116.3,1670.10111744307,0,0,0
16.2,39.9254209851058,116.3,1670.10111744307,0,0,0
16.3,39.9256904796911,116.3,1670.10111744307,0,0,0
16.4,39.9259599742763,116.3,1670.10111744307,0,0,0
16.5,39.9262294688615,116.3,1670.10111744307,0,0,0
16.6,39.9264989634468,116.3,1670.10111744307,0,0,0
16.7,39.926768458032,116.3,1670.10111744307,0,0,0
16.8,39.9270379526172,116.3,1670.10111744307,0,0,0
16.9,39.9273074472025,116.3,1670.10111744307,0,0,0
17,39.9275769417877,116.3,1670.10111744307,0,0,0
17.1,39.9278464363729,116.3,1670.10111744307,0,0,0
17.2,39.9281159309582,116.3,1670.10111744307,0,0,0
17.3,39.9283854255434,116.3,1670.10111744307,0,0,0
17.4,39.9286549201287,116.3,1670.10111744307,0,0,0
17.5,39.9289244147139,116.3,1670.10111744307,0,0,0
17.6,39.9291939092991,116.3,1670.10111744307,0,0,0
17.7,39.9294634038844,116.3,1670.10111744307,0,0,0
17.8,39.9297328984696,116.3,1670.10111744307,0,0,0
17.9,39.9300023930548,116.3,1670.10111744307,0,0,0
18,39.9302718876401,116.3,1670.10111744307,0,0,0
18.1,39.9305413822253,116.3,1670.10111744307,0,0,0
18.2,39.9308108768105,116.3,1670.10111744307,0,0,0
18.3,39.9310803713958,116.3,1670.10111744307,0,0,0
18.4,39.931349865981,116.3,1670.10111744307,0,0,0
