Freq [GHz],Phi [deg],Theta [deg],dB(RealizedGainTotal)
1,-35,75,-11.4908598869697
1,-35,80,-8.96891225574339
1,-35,85,-7.0060216699983
1,-35,90,-5.40100404150559
1,-35,95,-4.04919664372336
1,-35,100,-2.89062338141392
1,-35,105,-1.88886421324639
1,-35,110,-1.02104790801571
1,-35,115,-0.27257317866935
1,-35,120,0.365912328349832
1,-35,125,0.900352565945838
1,-35,130,1.33445846622655
1,-35,135,1.67048328680435
1,-35,140,1.90974241908333
1,-35,145,2.05295986168692
1,-35,150,2.10048922183083
1,-35,155,2.05243676599915
1,-35,160,1.90870080658834
1,-35,165,1.66893184647629
1,-35,170,1.332409032568
1,-35,175,0.897818597063397
1,-35,180,0.362906712338585
1,-30,-180,-0.276041192429681
1,-30,-175,-1.02497701647369
1,-30,-170,-1.89326727490433
1,-30,-165,-2.8955368209529
1,-30,-160,-4.05469564597683
1,-30,-155,-5.40722921516906
1,-30,-150,-7.01323087344909
1,-30,-145,-8.97759530521233
1,-30,-140,-11.5020418942985
1,-30,-135,-15.045734202491
1,-30,-130,-21.0820380637832
1,-30,-125,-49.6915268863378
1,-30,-120,-49.7160442636998
1,-30,-115,-21.0509700824116
1,-30,-110,-15.0299067327309
1,-30,-105,-11.4911951572915
1,-30,-100,-8.96917543656811
1,-30,-95,-7.00623668845944
1,-30,-90,-5.40118170489186
1,-30,-85,-4.04934231049873
1,-30,-80,-2.89073988106113
1,-30,-75,-1.88895317264268
1,-30,-70,-1.0211104317704
1,-30,-65,-0.272610227431365
1,-30,-60,0.365899718630456
1,-30,-55,0.900363157881764
1,-30,-50,1.33449075482146
1,-30,-45,1.67053547512959
1,-30,-40,1.90981242501231
1,-30,-35,2.05304534862785
1,-30,-30,2.10058764838577
1,-30,-25,2.05254545060442
1,-30,-20,1.90881700391578
1,-30,-15,1.66905283295705
1,-30,-10,1.33253219901568
1,-30,-5,0.89794154718372
1,-30,0,0.363027367127942
1,-30,5,-0.275924482425317
1,-30,10,-1.02486534567128
1,-30,15,-1.89316103237472
1,-30,20,-2.89543549149264
1,-30,25,-4.05459751292722
1,-30,30,-5.40713085547103
1,-30,35,-7.01312618024282
1,-30,40,-8.97747330835468
1,-30,45,-11.5018809449146
1,-30,50,-15.0454815659058
1,-30,55,-21.0814873161081
1,-30,60,-49.6915268863378
1,-30,65,-49.7160442636998
1,-30,70,-21.0519769112249
1,-30,75,-15.0304512828455
1,-30,80,-11.4915820831379
1,-30,85,-8.96947895093177
1,-30,90,-7.00648475311347
1,-30,95,-5.40138699309067
1,-30,100,-4.04951113266488
1,-30,105,-2.89087558089942
1,-30,110,-1.88905766930598
1,-30,115,-1.02118501087279
1,-30,120,-0.272655981324417
1,-30,125,0.365881634903719
1,-30,130,0.900371378256525
1,-30,135,1.334523622957
1,-30,140,1.67059101321566
1,-30,145,1.90988833816449
1,-30,150,2.05313905676069
1,-30,155,2.10069633977879
1,-30,160,2.05266615269748
1,-30,165,1.90894666772076
1,-30,170,1.66918842815174
1,-30,175,1.33267081749995
1,-30,180,0.898080513815201
1,-25,-180,0.363164357758088
1,-25,-175,-0.275791313215783
1,-25,-170,-1.0247372208034
1,-25,-165,-1.89303837891124
1,-25,-160,-2.89531770994956
1,-25,-155,-4.05448263148305
1,-25,-150,-5.40701494165379
1,-25,-145,-7.01300220215036
1,-25,-140,-8.97732859655288
1,-25,-135,-11.5016904234301
1,-25,-130,-15.0451840070628
1,-25,-125,-21.0808427180374
1,-25,-120,-49.6915268863378
1,-25,-115,-49.7160442636998
1,-25,-110,-21.0531129936327
1,-25,-105,-15.0310636751648
1,-25,-100,-11.4920163088731
1,-25,-95,-8.969819286698
1,-25,-90,-7.00676303512631
1,-25,-85,-5.4016177070834
1,-25,-80,-4.04970152607996
1,-25,-75,-2.89102950876765
1,-25,-70,-1.8891773399188
1,-25,-65,-1.02127188116727
1,-25,-60,-0.272711255807749
1,-25,-55,0.365856713095356
1,-25,-50,0.900375357277108
1,-25,-45,1.33455474952363
1,-25,-40,1.67064719350896
1,-25,-35,1.90996713833621
1,-25,-30,2.05323773399316
1,-25,-25,2.10081189749283
1,-25,-20,2.05279541501817
1,-25,-15,1.90908636928068
1,-25,-10,1.66933531608433
1,-25,-5,1.33282176328249
1,-25,0,0.898232633674503
1,-25,5,0.363315141929388
1,-25,10,-0.275643859522102
1,-25,15,-1.02459441743725
1,-25,20,-1.89290067637087
1,-25,25,-2.89518442903757
1,-25,30,-4.05435157154595
1,-25,35,-5.40688171305175
1,-25,40,-7.01285893412775
1,-25,45,-8.97716105895678
1,-25,50,-11.5014703547867
1,-25,55,-15.0448422125109
1,-25,60,-21.0801075318218
1,-25,65,-49.6915268863378
1,-25,70,-49.7160442636998
1,-25,75,-21.054367997311
1,-25,80,-15.0317375912664
1,-25,85,-11.4924930251758
1,-25,90,-8.97019257172864
1,-25,95,-7.00706841324888
1,-25,100,-5.40187141201987
1,-25,105,-4.04991172237822
1,-25,110,-2.89120055746518
1,-25,115,-1.8893117338502
1,-25,120,-1.02137123760298
1,-25,125,-0.272776870261818
1,-25,130,0.365823542533316
1,-25,135,0.900373138673522
1,-25,140,1.33458169054799
1,-25,145,1.6707011533682
1,-25,150,1.91004562277645
1,-25,155,2.0533379234843
1,-25,160,2.10093070167986
1,-25,165,2.05292954821677
1,-25,170,1.90923244288274
1,-25,175,1.66948994460038
1,-25,180,1.33298168164035
1,-20,-180,0.898394824552959
1,-20,-175,0.36347697364067
1,-20,-170,-0.275484481264444
1,-20,-165,-1.02443887563257
1,-20,-160,-1.89274942947284
1,-20,-155,-2.89503672330836
1,-20,-150,-4.05420500631817
1,-20,-145,-5.40673149871501
1,-20,-140,-7.0126964558077
1,-20,-135,-8.97697067903126
1,-20,-130,-11.5012208955193
1,-20,-125,-15.0444571023875
1,-20,-120,-21.0792856026029
1,-20,-115,-49.6915268863378
1,-20,-110,-49.7160442636998
1,-20,-105,-21.0557306292428
1,-20,-100,-15.0324661910273
1,-20,-95,-11.4930070511387
1,-20,-90,-8.97059464213838
1,-20,-85,-7.00739752792468
1,-20,-80,-5.40214547627108
1,-20,-75,-4.05013979204265
1,-20,-70,-2.89138749115158
1,-20,-65,-1.88946030254394
1,-20,-60,-1.02148320668882
1,-20,-55,-0.272853604032762
1,-20,-50,0.365780725343335
1,-20,-45,0.900362753135679
1,-20,-40,1.33460196487752
1,-20,-35,1.67074997085918
1,-20,-30,1.91012050966982
1,-20,-25,2.05343607218211
1,-20,-20,2.10104902198499
1,-20,-15,2.05306474114573
1,-20,-10,1.90938109279908
1,-20,-5,1.66964862636057
1,-20,0,1.33314708041386
1,-20,5,0.898563867232659
1,-20,10,0.363646972633227
1,-20,15,-0.275315668023999
1,-20,20,-1.02427265928793
1,-20,25,-1.89258626051316
1,-20,30,-2.89487577919503
1,-20,35,-4.05404371708991
1,-20,40,-5.40656473578412
1,-20,45,-7.01251496168566
1,-20,50,-8.97675757402853
1,-20,55,-11.5009423788351
1,-20,60,-15.0440298747063
1,-20,65,-21.0783813827556
1,-20,70,-49.6915268863378
1,-20,75,-49.7160442636998
1,-20,80,-21.057188774078
1,-20,85,-15.0332422164113
1,-20,90,-11.4935529207008
1,-20,95,-8.97102111404736
1,-20,100,-7.00774683821331
1,-20,105,-5.40243711266319
1,-20,110,-4.05038366903835
1,-20,115,-2.89158895268872
1,-20,120,-1.8896223892335
1,-20,125,-1.0216078186703
1,-20,130,-0.272942151615095
1,-20,135,0.365726937258523
1,-20,140,0.900342293671698
1,-20,145,1.33461314223889
1,-20,150,1.67079076330872
1,-20,155,1.91018854468963
1,-20,160,2.0535286426598
1,-20,165,2.10116313181166
1,-20,170,2.05319717464667
1,-20,175,1.90952850372338
1,-20,180,1.66980764317687
1,-15,-180,1.33331442569941
1,-15,-175,0.89873649027847
1,-15,-170,0.363822196382077
1,-15,-165,-0.275139981333754
1,-15,-160,-1.02409791372422
1,-15,-155,-1.89241288274007
1,-15,-150,-2.89470288413628
1,-15,-145,-4.05386859750151
1,-15,-140,-5.4063819876818
1,-15,-135,-7.01231479137994
1,-15,-130,-8.97652203465412
1,-15,-125,-11.5006353597678
1,-15,-120,-15.0435620490851
1,-15,-115,-21.0773999531669
1,-15,-110,-49.6915268863378
1,-15,-105,-49.7160442636998
1,-15,-100,-21.0587296389795
1,-15,-95,-15.0340580985643
1,-15,-90,-11.4941249713393
1,-15,-85,-8.97146745707721
1,-15,-80,-7.00811268014871
1,-15,-75,-5.40274342094012
1,-15,-70,-4.05064117652186
1,-15,-65,-2.89180347193603
1,-15,-60,-1.88979721950555
1,-15,-55,-1.02174498045962
1,-15,-50,-0.273043078497019
1,-15,-45,0.365660987854037
1,-15,-40,0.90030999047882
1,-15,-35,1.33461293089678
1,-15,-30,1.6708207855481
1,-15,-25,1.9102466073306
1,-15,-20,2.05361222482281
1,-15,-15,2.10126942254903
1,-15,-10,2.05332313539065
1,-15,-5,1.90967095135058
1,-15,0,1.66996335058029
1,-15,5,1.33348023785966
1,-15,10,0.898909455230266
1,-15,15,0.363999712566618
1,-15,20,-0.274959996413509
1,-15,25,-1.0239168226377
1,-15,30,-1.89223107302465
1,-15,35,-2.89451941491753
1,-15,40,-4.053680656934
1,-15,45,-5.40618396132515
1,-15,50,-7.01209645876544
1,-15,55,-8.97626456338494
1,-15,60,-11.5003006586042
1,-15,65,-15.0430555079615
1,-15,70,-21.0763470395868
1,-15,75,-49.6915268863378
1,-15,80,-49.7160442636998
1,-15,85,-21.0603399022769
1,-15,90,-15.034906065838
1,-15,95,-11.4947174329246
1,-15,100,-8.97192906781833
1,-15,105,-7.00849132514027
1,-15,110,-5.40306143049078
1,-15,115,-4.05091005312988
1,-15,120,-2.89202947500003
1,-15,125,-1.88998389322371
1,-15,130,-1.02189445034165
1,-15,135,-0.273156779187324
1,-15,140,0.365581878222825
1,-15,145,0.900264282921997
1,-15,150,1.33459926214363
1,-15,155,1.67083752477936
1,-15,160,1.91029181373341
1,-15,165,2.0536836440603
1,-15,170,2.10136451428354
1,-15,175,2.05343912632996
1,-15,180,1.90980490978151
1,-10,-180,1.67011227950773
1,-10,-175,1.33364118502105
1,-10,-170,0.899079639715654
1,-10,-165,0.364176669948887
1,-10,-160,-0.274778244968567
1,-10,-155,-1.02373156555997
1,-10,-150,-1.89204264446558
1,-10,-145,-2.89432682537068
1,-10,-140,-4.05348102268933
1,-10,-135,-5.40597152256973
1,-10,-130,-7.01186067879049
1,-10,-125,-8.97598590991083
1,-10,-120,-11.4999394007976
1,-10,-115,-15.042512533368
1,-10,-110,-21.0752290222359
1,-10,-105,-49.6915268863378
1,-10,-100,-49.7160442636998
1,-10,-95,-21.0620058632537
1,-10,-90,-15.0357782503948
1,-10,-85,-11.4953245146729
1,-10,-80,-8.97240134152609
1,-10,-75,-7.00887903704625
1,-10,-70,-5.40338814238807
1,-10,-65,-4.05118797935469
1,-10,-60,-2.89226529442857
1,-10,-55,-1.8901813783006
1,-10,-50,-1.02205581544009
1,-10,-45,-0.27328343888836
1,-10,-40,0.365488854176808
1,-10,-35,0.900203886294594
1,-10,-30,1.33457036894093
1,-10,-25,1.67083878909583
1,-10,-20,1.91032161281718
1,-10,-15,2.05374006252182
1,-10,-10,2.10144535962381
1,-10,-5,2.05354197042492
1,-10,0,1.90992715253402
1,-10,5,1.67025123208847
1,-10,10,1.33379417131245
1,-10,15,0.899244116075844
1,-10,20,0.364350365646146
1,-10,25,-0.274597160628962
1,-10,30,-1.02354427693497
1,-10,35,-1.89184941955742
1,-10,40,-2.89412663357968
1,-10,45,-4.05327094064111
1,-10,50,-5.40574570913177
1,-10,55,-7.01160839083546
1,-10,60,-8.97568710223091
1,-10,65,-11.4995530516555
1,-10,70,-15.0419358374255
1,-10,75,-21.074052936963
1,-10,80,-49.6915268863378
1,-10,85,-49.7160442636998
1,-10,90,-21.063713590459
1,-10,95,-15.0366667911393
1,-10,100,-11.4959404882286
1,-10,105,-8.97287974038594
1,-10,110,-7.00927212661187
1,-10,115,-5.40372056982999
1,-10,120,-4.0514726035246
1,-10,125,-2.8925091803251
1,-10,130,-1.89038850676167
1,-10,135,-1.02222847285486
1,-10,140,-0.273423000179276
1,-10,145,0.3653814531829
1,-10,150,0.900127851186832
1,-10,155,1.33452485620344
1,-10,160,1.67082278687578
1,-10,165,1.91033387273579
1,-10,170,2.05377907040692
1,-10,175,2.10150933747782
1,-10,180,2.05362890451515
1,-5,-180,1.9100348441399
1,-5,-175,1.67037736869485
1,-5,-170,1.33393641726435
1,-5,-165,0.89940022324059
1,-5,-160,0.364518306901722
1,-5,-155,-0.274419028515292
1,-5,-150,-1.02335700786218
1,-5,-145,-1.89165320451985
1,-5,-140,-2.89392040873996
1,-5,-135,-4.05305177406803
1,-5,-130,-5.40550774029481
1,-5,-125,-7.01134077755608
1,-5,-120,-8.97536947204625
1,-5,-115,-11.4991434442175
1,-5,-110,-15.0413285848623
1,-5,-105,-21.0728264664273
1,-5,-100,-49.6915268863378
1,-5,-95,-49.7160442636998
1,-5,-90,-21.0654490660681
1,-5,-85,-15.0375639308779
1,-5,-80,-11.4965597650493
1,-5,-75,-8.97335985681239
1,-5,-70,-7.00966700206325
1,-5,-65,-5.40405577613527
1,-5,-60,-4.05176156693737
1,-5,-55,-2.89275931234457
1,-5,-50,-1.89060397348795
1,-5,-45,-1.02241161528155
1,-5,-40,-0.273575135932121
1,-5,-35,0.365259543426976
1,-5,-30,0.900035613504294
1,-5,-25,1.33446176046609
1,-5,-20,1.67078819454147
1,-5,-15,1.91032695496481
1,-5,-10,2.05379876445784
1,-5,-5,2.10155433392592
1,-5,0,2.05369766050558
1,-5,5,1.91012561959535
1,-5,10,1.67048828369061
1,-5,15,1.33406553003071
1,-5,20,0.899545629799063
1,-5,25,0.364678265633434
1,-5,30,-0.274245940284411
1,-5,35,-1.0231716914657
1,-5,40,-1.89145576534222
1,-5,45,-2.89370975781864
1,-5,50,-4.0528250004252
1,-5,55,-5.40525902278997
1,-5,60,-7.01105927827621
1,-5,65,-8.97503467324319
1,-5,70,-11.4987127989231
1,-5,75,-15.0406944060733
1,-5,80,-21.0715579200116
1,-5,85,-49.6915268863378
1,-5,90,-49.7160442636998
1,-5,95,-21.0671983240056
1,-5,100,-15.0384621058193
1,-5,105,-11.4971769664705
1,-5,110,-8.97383747041853
1,-5,115,-7.01006021478172
1,-5,120,-5.40439090953535
1,-5,125,-4.0520525277303
1,-5,130,-2.89301381251644
1,-5,135,-1.89082633795277
1,-5,140,-1.02260422179701
1,-5,145,-0.273739229500157
1,-5,150,0.36512335362995
1,-5,155,0.899927033457823
1,-5,160,1.33438059699138
1,-5,165,1.67073421052608
1,-5,170,1.91029977370032
1,-5,175,2.05379781123259
1,-5,180,2.10157880772606
1,0,-180,2.05374653142383
1,0,-175,1.91019764930436
1,0,-170,1.6705820676575
1,0,-165,1.3341795614097
1,0,-160,0.89967838648672
1,0,-155,0.36482832426352
1,0,-150,-0.274079755834336
1,0,-145,-1.02299011273122
1,0,-140,-1.8912588060354
1,0,-135,-2.8934963121604
1,0,-130,-4.05259220586049
1,0,-125,-5.40500115234388
1,0,-120,-7.01076559614755
1,0,-115,-8.97468469245673
1,0,-110,-11.4982637338978
1,0,-105,-15.0400373994926
1,0,-100,-21.0702562014612
1,0,-95,-49.6915268863378
1,0,-90,-49.7160442636998
1,0,-85,-21.0689475797976
1,0,-80,-15.039354025791
1,0,-75,-11.4977869850649
1,0,-70,-8.97430859749979
1,0,-65,-7.0104484991448
1,0,-60,-5.40472323411337
1,0,-55,-4.05234318312058
1,0,-50,-2.893270758824
1,0,-45,-1.89105402918441
1,0,-40,-1.02280505434422
1,0,-35,-0.273914363005121
1,0,-30,0.364973492516035
1,0,-25,0.899802422176305
1,0,-20,1.33428139275264
1,0,-15,1.67066059370594
1,0,-10,1.91025183869333
1,0,-5,2.05377549319709
1,0,0,2.10158183845289
1,0,5,2.05377442036564
1,0,10,1.9102496875956
1,0,15,1.67065735429314
1,0,20,1.3342770520129
1,0,25,0.899796966633285
1,0,30,0.364966911603851
1,0,35,-0.273922072640504
1,0,40,-1.02281388350989
1,0,45,-1.89106394951056
1,0,50,-2.89328171417676
1,0,55,-4.05235507734393
1,0,60,-5.40473591051182
1,0,65,-7.01046169847189
1,0,70,-8.97432185093142
1,0,75,-11.497799264956
1,0,80,-15.039362122357
1,0,85,-21.0689307635727
1,0,90,-49.6915268863378
1,0,95,-49.7160442636998
1,0,100,-21.0706833504077
1,0,105,-15.0402327438513
1,0,110,-11.4983850361951
1,0,115,-8.97476953211671
1,0,120,-7.01082880580855
1,0,125,-5.40505015636603
1,0,130,-4.05263128970562
1,0,135,-2.89352819945335
1,0,140,-1.89128535409513
1,0,145,-1.02301266028314
1,0,150,-0.274099314307142
1,0,155,0.364810957143534
1,0,160,0.899662554965565
1,0,165,1.33416470415424
1,0,170,1.67056768502581
1,0,175,1.91018328014603
1,0,180,2.05373173619523
1,5,-180,2.10156315580046
1,5,-175,2.05378087086507
1,5,-170,1.91028110339427
1,5,-165,1.67071335064073
1,5,-160,1.33435706035549
1,5,-155,0.899900293485416
1,5,-150,0.365092827875782
1,5,-145,-0.273774203459053
1,5,-140,-1.02264442322883
1,5,-135,-1.8908727214184
1,5,-130,-2.89306760424969
1,5,-125,-4.05211539234445
1,5,-120,-5.40446525654954
1,5,-115,-7.01014980978356
1,5,-110,-8.97394879715437
1,5,-105,-11.4973227947209
1,5,-100,-15.0386735692709
1,5,-95,-21.0675915496179
1,5,-90,-49.6915268863378
1,5,-85,-49.7160442636998
1,5,-80,-21.0723925626528
1,5,-75,-15.0410917143167
1,5,-70,-11.4989666989645
1,5,-65,-8.97521687812375
1,5,-60,-7.01119832791169
1,5,-55,-5.40536924700404
1,5,-50,-4.05291468157841
1,5,-45,-2.89378416760951
1,5,-40,-1.89151850921973
1,5,-35,-1.02322538119289
1,5,-30,-0.274292562982745
1,5,-25,0.364637129643066
1,5,-20,0.899508670640082
1,5,-15,1.33403161881102
1,5,-10,1.67045641155291
1,5,-5,1.91009485483867
1,5,0,2.05366711742074
1,5,5,2.10152314914896
1,5,10,2.05376607779012
1,5,15,1.91029189217187
1,5,20,1.67074984981824
1,5,25,1.33441917609937
1,5,30,0.899987753718392
1,5,35,0.365205258276006
1,5,40,-0.273637162877578
1,5,45,-1.02248294566964
1,5,50,-1.89068653719171
1,5,55,-2.89285560797067
1,5,60,-4.05187500606009
1,5,65,-5.40419131422502
1,5,70,-7.00983239750448
1,5,75,-8.97356849000852
1,5,80,-11.4968380905859
1,5,85,-15.037977138349
1,5,90,-21.066248921571
1,5,95,-49.6915268863378
1,5,100,-49.7160442636998
1,5,105,-21.0740626491505
1,5,110,-15.0419248385806
1,5,115,-11.4995279461024
1,5,120,-8.97564757177319
1,5,125,-7.01155451990161
1,5,130,-5.40567825775493
1,5,135,-4.05319128608203
1,5,140,-2.89403669678318
1,5,145,-1.89175159580345
1,5,150,-1.02344136792359
1,5,155,-0.274492305362699
1,5,160,0.364453762258873
1,5,165,0.899342456775428
1,5,170,1.33388374119245
1,5,175,1.67032827272818
1,5,180,1.90998793322529
1,10,-180,2.05358285360559
1,10,-175,2.1014628570949
1,10,-170,2.05373087845532
1,10,-165,1.91028266886555
1,10,-160,1.67076722594601
1,10,-155,1.33446351716287
1,10,-150,0.90005919687085
1,10,-145,0.365303774848529
1,10,-140,-0.273511662922125
1,10,-135,-1.02233045199248
1,10,-130,-1.89050669243221
1,10,-125,-2.89264732382428
1,10,-120,-4.05163583628005
1,10,-115,-5.40391635362347
1,10,-110,-7.00951215020881
1,10,-105,-8.97318417248265
1,10,-100,-11.4963492515781
1,10,-95,-15.0372785850828
1,10,-90,-21.0649135755981
1,10,-85,-49.6915268863378
1,10,-80,-49.7160442636998
1,10,-75,-21.0756816311368
1,10,-70,-15.042726498478
1,10,-65,-11.5000651626568
1,10,-60,-8.97605889481007
1,10,-55,-7.01189510890864
1,10,-50,-5.40597513308483
1,10,-45,-4.0534591370999
1,10,-40,-2.89428383633806
1,10,-35,-1.89198263808059
1,10,-30,-1.02365860170612
1,10,-25,-0.274696478407793
1,10,-20,0.364262950944196
1,10,-15,0.899166021156764
1,10,-10,1.33372316242634
1,10,-5,1.67018530912286
1,10,0,1.90986446781332
1,10,5,2.05348076974005
1,10,10,2.10138393725206
1,10,15,2.05367672424336
1,10,20,1.91025464203631
1,10,25,1.67076641151235
1,10,30,1.33449071090019
1,10,35,0.900114920864355
1,10,40,0.36538832677782
1,10,45,-0.273398117655973
1,10,50,-1.02218772999309
1,10,55,-1.89033435668513
1,10,60,-2.8924443114131
1,10,65,-4.05139984603039
1,10,70,-5.40364276815203
1,10,75,-7.00919194876063
1,10,80,-8.97279933626207
1,10,85,-11.4958606645247
1,10,90,-15.0365839644535
1,10,95,-21.0635964456594
1,10,100,-49.6915268863378
1,10,105,-49.7160442636998
1,10,110,-21.0772381878735
1,10,115,-15.0434915773189
1,10,120,-11.5005751537023
1,10,125,-8.97644847826088
1,10,130,-7.01221809881758
1,10,135,-5.4062580169084
1,10,140,-4.05371638585184
1,10,145,-2.89452366727772
1,10,150,-1.89220960448422
1,10,155,-1.02387492094257
1,10,160,-0.274902791930466
1,10,165,0.364067098110067
1,10,170,0.898981850118738
1,10,175,1.33355241503842
1,10,180,1.67003005454121
1,15,-180,1.90972694371136
1,15,-175,2.05336324923057
1,15,-170,2.10128861722913
1,15,-165,2.05360563361859
1,15,-160,1.9102095701039
1,15,-155,1.67074885794864
1,15,-150,1.33450186003644
1,15,-145,0.900155644190305
1,15,-140,0.36545921956888
1,15,-135,-0.273296656433352
1,15,-130,-1.02205535939255
1,15,-125,-1.89017057054139
1,15,-120,-2.89224808030637
1,15,-115,-4.0511690242245
1,15,-110,-5.40337304709975
1,15,-105,-7.00887483080682
1,15,-100,-8.97241767780534
1,15,-95,-11.4953769502531
1,15,-90,-15.0358995621782
1,15,-85,-21.0623085964451
1,15,-80,-49.6915268863378
1,15,-75,-49.7160442636998
1,15,-70,-21.0787217127498
1,15,-65,-15.0442154690768
1,15,-60,-11.5010551416003
1,15,-55,-8.97681429739473
1,15,-50,-7.01252176740376
1,15,-45,-5.40652525450381
1,15,-40,-4.05396130923694
1,15,-35,-2.8947543180404
1,15,-30,-1.89243043143619
1,15,-25,-1.02408805312481
1,15,-20,-0.275108768413466
1,15,-15,0.363868865458945
1,15,-10,0.898792754872611
1,15,-5,1.33337441386398
1,15,0,1.66986547281577
1,15,5,1.90957831277104
1,15,10,2.05323316696544
1,15,15,2.10117962826135
1,15,20,2.05352012798025
1,15,25,1.91014970103959
1,15,30,1.67071648069404
1,15,35,1.33449849450513
1,15,40,0.900182465749915
1,15,45,0.36551708391409
1,15,50,-0.273207145211582
1,15,55,-1.02193372277988
1,15,60,-1.89001624591089
1,15,65,-2.89206007957944
1,15,70,-4.0509453646055
1,15,75,-5.4031097442489
1,15,80,-7.00856394931735
1,15,85,-8.97204304677849
1,15,90,-11.4949029008656
1,15,95,-15.03523181632
1,15,100,-21.0610611072154
1,15,105,-49.6915268863378
1,15,110,-49.7160442636998
1,15,115,-21.0801223565404
1,15,120,-15.0448940765588
1,15,125,-11.5015027536487
1,15,130,-8.9771546585936
1,15,135,-7.01280465710135
1,15,140,-5.40677538998734
1,15,145,-4.05419231583218
1,15,150,-2.89497398016528
1,15,155,-1.89264304928157
1,15,160,-1.0242956511666
1,15,165,-0.275311789441672
1,15,170,0.363671118140151
1,15,175,0.898601807284548
1,15,180,1.33319238478976
1,20,-180,1.6696948811098
1,20,-175,1.90942191324855
1,20,-170,2.05309380727815
1,20,-165,2.10106012350029
1,20,-160,2.05342315232298
1,20,-155,1.91007769739914
1,20,-150,1.6706715904989
1,20,-145,1.33448251076104
1,20,-140,0.900196813704783
1,20,-135,0.365562835356988
1,20,-130,-0.273129215084171
1,20,-125,-1.02182302166055
1,20,-120,-1.88987216921919
1,20,-115,-2.89188168809736
1,20,-110,-4.05073084332507
1,20,-105,-5.40285544316024
1,20,-100,-7.00826252605221
1,20,-95,-8.97167938796088
1,20,-90,-11.4944434094169
1,20,-85,-15.0345872307995
1,20,-80,-21.0598649484242
1,20,-75,-49.6915268863378
1,20,-70,-49.7160442636998
1,20,-65,-21.0814310586182
1,20,-60,-15.0455237996863
1,20,-55,-11.501916001231
1,20,-50,-8.97746817909792
1,20,-45,-7.01306556015311
1,20,-40,-5.40700715982552
1,20,-35,-4.05440794971741
1,20,-30,-2.89518092366577
1,20,-25,-1.89284540985924
1,20,-20,-1.02449533329456
1,20,-15,-0.275509147555708
1,20,-10,0.363476861733083
1,20,-5,0.898412266894547
1,20,0,1.33300978335868
1,20,5,1.66952186195396
1,20,10,1.90926137735415
1,20,15,2.05294876925823
1,20,20,2.10093358343233
1,20,25,2.05331798313388
1,20,30,1.90999654902191
1,20,35,1.67061681313203
1,20,40,1.33445610051784
1,20,45,0.900200385025053
1,20,50,0.365597626138078
1,20,55,-0.273062296984155
1,20,60,-1.02172329691453
1,20,65,-1.88973900719812
1,20,70,-2.89171420557877
1,20,75,-4.0505273955546
1,20,80,-5.40261271986563
1,20,85,-7.00797380100063
1,20,90,-8.97133067794609
1,20,95,-11.4940033935652
1,20,100,-15.0339722826194
1,20,105,-21.0587308532692
1,20,110,-49.6915268863378
1,20,115,-49.7160442636998
1,20,120,-21.0826395672121
1,20,125,-15.0461015152831
1,20,130,-11.5022932518088
1,20,135,-8.97775376079166
1,20,140,-7.01330349904454
1,20,145,-5.40721948297049
1,20,150,-4.05460689234973
1,20,155,-2.89537351194589
1,20,160,-1.8930355151398
1,20,165,-1.02468472552525
1,20,170,-0.275698102163125
1,20,175,0.363289173789117
1,20,180,0.898227501237324
1,25,-180,1.33283020558237
1,25,-175,1.66935016659031
1,25,-170,1.90910052942779
1,25,-165,2.05280186224562
1,25,-160,2.10080371128784
1,25,-155,2.05320812634206
1,25,-150,1.90990947609526
1,25,-145,1.67055500000592
1,25,-140,1.33442167117829
1,25,-135,0.90019507770081
1,25,-130,0.365622790838707
1,25,-125,-0.273005661325118
1,25,-120,-1.02163445284141
1,25,-115,-1.88961731486939
1,25,-110,-2.89155884446346
1,25,-105,-4.05033689156112
1,25,-100,-5.40238410379208
1,25,-95,-7.00770097897228
1,25,-90,-8.97100085813673
1,25,-85,-11.4935877149734
1,25,-80,-15.0333933248275
1,25,-75,-21.0576691865214
1,25,-70,-49.6915268863378
1,25,-65,-49.7160442636998
1,25,-60,-21.0837404500443
1,25,-55,-15.0466245499764
1,25,-50,-11.5026331952875
1,25,-45,-8.97801055934664
1,25,-40,-7.01351770324937
1,25,-35,-5.40741144828765
1,25,-30,-4.05478796275584
1,25,-25,-2.89555021609428
1,25,-20,-1.89321144631843
1,25,-15,-1.02486150566638
1,25,-10,-0.27587593801023
1,25,-5,0.36311113183727
1,25,0,0.89805090173765
1,25,5,1.3326572935497
1,25,10,1.66918361246623
1,25,15,1.90894327776824
1,25,20,2.05265699464495
1,25,25,2.10067432160831
1,25,30,2.0530972084386
1,25,35,1.90981982557439
1,25,40,1.67048913250713
1,25,45,1.33438176047201
1,25,50,0.900182917798557
1,25,55,0.365639787621885
1,25,60,-0.272958461206206
1,25,65,-1.02155628387015
1,25,70,-1.88950754526476
1,25,75,-2.89141672259246
1,25,80,-4.0501611127125
1,25,85,-5.40217203780607
1,25,90,-7.00744717462224
1,25,95,-8.97069376566036
1,25,100,-11.4932010963872
1,25,105,-15.0328564874114
1,25,110,-21.0566898131356
1,25,115,-49.6915268863378
1,25,120,-49.7160442636998
1,25,125,-21.084727096869
1,25,130,-15.0470906479739
1,25,135,-11.5029348064171
1,25,140,-8.97823795015908
1,25,145,-7.01370758340043
1,25,150,-5.40758230000808
1,25,155,-4.05495011634275
