Freq [GHz],Phi [deg],Theta [deg],dB(RealizedGainTotal)
1,-80,-170,-49.7160442636998
1,-80,-165,-21.0620058632537
1,-80,-160,-15.0357782503948
1,-80,-155,-11.4953245146729
1,-80,-150,-8.97240134152609
1,-80,-145,-7.00887903704625
1,-80,-140,-5.40338814238807
1,-80,-135,-4.05118797935469
1,-80,-130,-2.89226529442857
1,-80,-125,-1.8901813783006
1,-80,-120,-1.02205581544009
1,-80,-115,-0.27328343888836
1,-80,-110,0.365488854176808
1,-80,-105,0.900203886294594
1,-80,-100,1.33457036894093
1,-80,-95,1.67083878909583
1,-80,-90,1.91032161281718
1,-80,-85,2.05374006252182
1,-80,-80,2.10144535962381
1,-80,-75,2.05354197042492
1,-80,-70,1.90992715253402
1,-80,-65,1.67025123208847
1,-80,-60,1.33379417131245
1,-80,-55,0.899244116075844
1,-80,-50,0.364350365646146
1,-80,-45,-0.274597160628962
1,-80,-40,-1.02354427693497
1,-80,-35,-1.89184941955742
1,-80,-30,-2.89412663357968
1,-80,-25,-4.05327094064111
1,-80,-20,-5.40574570913177
1,-80,-15,-7.01160839083546
1,-80,-10,-8.97568710223091
1,-80,-5,-11.4995530516555
1,-80,0,-15.0419358374255
1,-80,5,-21.074052936963
1,-80,10,-49.6915268863378
1,-80,15,-49.7160442636998
1,-80,20,-21.0603399022769
1,-80,25,-15.034906065838
1,-80,30,-11.4947174329246
1,-80,35,-8.97192906781833
1,-80,40,-7.00849132514027
1,-80,45,-5.40306143049078
1,-80,50,-4.05091005312988
1,-80,55,-2.89202947500003
1,-80,60,-1.88998389322371
1,-80,65,-1.02189445034165
1,-80,70,-0.273156779187324
1,-80,75,0.365581878222825
1,-80,80,0.900264282921997
1,-80,85,1.33459926214363
1,-80,90,1.67083752477936
1,-80,95,1.91029181373341
1,-80,100,2.0536836440603
1,-80,105,2.10136451428354
1,-80,110,2.05343912632996
1,-80,115,1.90980490978151
1,-80,120,1.67011227950773
1,-80,125,1.33364118502105
1,-80,130,0.899079639715654
1,-80,135,0.364176669948887
1,-80,140,-0.274778244968567
1,-80,145,-1.02373156555997
1,-80,150,-1.89204264446558
1,-80,155,-2.89432682537068
1,-80,160,-4.05348102268933
1,-80,165,-5.40597152256973
1,-80,170,-7.01186067879049
1,-80,175,-8.97598590991083
1,-80,180,-11.4999394007976
1,-75,-180,-15.042512533368
1,-75,-175,-21.0752290222359
1,-75,-170,-49.6915268863378
1,-75,-165,-49.7160442636998
1,-75,-160,-21.0587296389795
1,-75,-155,-15.0340580985643
1,-75,-150,-11.4941249713393
1,-75,-145,-8.97146745707721
1,-75,-140,-7.00811268014871
1,-75,-135,-5.40274342094012
1,-75,-130,-4.05064117652186
1,-75,-125,-2.89180347193603
1,-75,-120,-1.88979721950555
1,-75,-115,-1.02174498045962
1,-75,-110,-0.273043078497019
1,-75,-105,0.365660987854037
1,-75,-100,0.90030999047882
1,-75,-95,1.33461293089678
1,-75,-90,1.6708207855481
1,-75,-85,1.9102466073306
1,-75,-80,2.05361222482281
1,-75,-75,2.10126942254903
1,-75,-70,2.05332313539065
1,-75,-65,1.90967095135058
1,-75,-60,1.66996335058029
1,-75,-55,1.33348023785966
1,-75,-50,0.898909455230266
1,-75,-45,0.363999712566618
1,-75,-40,-0.274959996413509
1,-75,-35,-1.0239168226377
1,-75,-30,-1.89223107302465
1,-75,-25,-2.89451941491753
1,-75,-20,-4.053680656934
1,-75,-15,-5.40618396132515
1,-75,-10,-7.01209645876544
1,-75,-5,-8.97626456338494
1,-75,0,-11.5003006586042
1,-75,5,-15.0430555079615
1,-75,10,-21.0763470395868
1,-75,15,-49.6915268863378
1,-75,20,-49.7160442636998
1,-75,25,-21.057188774078
1,-75,30,-15.0332422164113
1,-75,35,-11.4935529207008
1,-75,40,-8.97102111404736
1,-75,45,-7.00774683821331
1,-75,50,-5.40243711266319
1,-75,55,-4.05038366903835
1,-75,60,-2.89158895268872
1,-75,65,-1.8896223892335
1,-75,70,-1.0216078186703
1,-75,75,-0.272942151615095
1,-75,80,0.365726937258523
1,-75,85,0.900342293671698
1,-75,90,1.33461314223889
1,-75,95,1.67079076330872
1,-75,100,1.91018854468963
1,-75,105,2.0535286426598
1,-75,110,2.10116313181166
1,-75,115,2.05319717464667
1,-75,120,1.90952850372338
1,-75,125,1.66980764317687
1,-75,130,1.33331442569941
1,-75,135,0.89873649027847
1,-75,140,0.363822196382077
1,-75,145,-0.275139981333754
1,-75,150,-1.02409791372422
1,-75,155,-1.89241288274007
1,-75,160,-2.89470288413628
1,-75,165,-4.05386859750151
1,-75,170,-5.4063819876818
1,-75,175,-7.01231479137994
1,-75,180,-8.97652203465412
1,-70,-180,-11.5006353597678
1,-70,-175,-15.0435620490851
1,-70,-170,-21.0773999531669
1,-70,-165,-49.6915268863378
1,-70,-160,-49.7160442636998
1,-70,-155,-21.0557306292428
1,-70,-150,-15.0324661910273
1,-70,-145,-11.4930070511387
1,-70,-140,-8.97059464213838
1,-70,-135,-7.00739752792468
1,-70,-130,-5.40214547627108
1,-70,-125,-4.05013979204265
1,-70,-120,-2.89138749115158
1,-70,-115,-1.88946030254394
1,-70,-110,-1.02148320668882
1,-70,-105,-0.272853604032762
1,-70,-100,0.365780725343335
1,-70,-95,0.900362753135679
1,-70,-90,1.33460196487752
1,-70,-85,1.67074997085918
1,-70,-80,1.91012050966982
1,-70,-75,2.05343607218211
1,-70,-70,2.10104902198499
1,-70,-65,2.05306474114573
1,-70,-60,1.90938109279908
1,-70,-55,1.66964862636057
1,-70,-50,1.33314708041386
1,-70,-45,0.898563867232659
1,-70,-40,0.363646972633227
1,-70,-35,-0.275315668023999
1,-70,-30,-1.02427265928793
1,-70,-25,-1.89258626051316
1,-70,-20,-2.89487577919503
1,-70,-15,-4.05404371708991
1,-70,-10,-5.40656473578412
1,-70,-5,-7.01251496168566
1,-70,0,-8.97675757402853
1,-70,5,-11.5009423788351
1,-70,10,-15.0440298747063
1,-70,15,-21.0783813827556
1,-70,20,-49.6915268863378
1,-70,25,-49.7160442636998
1,-70,30,-21.054367997311
1,-70,35,-15.0317375912664
1,-70,40,-11.4924930251758
1,-70,45,-8.97019257172864
1,-70,50,-7.00706841324888
1,-70,55,-5.40187141201987
1,-70,60,-4.04991172237822
1,-70,65,-2.89120055746518
1,-70,70,-1.8893117338502
1,-70,75,-1.02137123760298
1,-70,80,-0.272776870261818
1,-70,85,0.365823542533316
1,-70,90,0.900373138673522
1,-70,95,1.33458169054799
1,-70,100,1.6707011533682
1,-70,105,1.91004562277645
1,-70,110,2.0533379234843
1,-70,115,2.10093070167986
1,-70,120,2.05292954821677
1,-70,125,1.90923244288274
1,-70,130,1.66948994460038
1,-70,135,1.33298168164035
1,-70,140,0.898394824552959
1,-70,145,0.36347697364067
1,-70,150,-0.275484481264444
1,-70,155,-1.02443887563257
