Time_s,Lat_deg,Lon_deg,Alt_m,Yaw_deg,Pitch_deg,Roll_deg
0,39.9,116.3,100,0,15,0
0.1,39.9002603117799,116.3,107.715521353076,0,14.8188741518482,0
0.2,39.9005206235598,116.3,115.332942706151,0,14.6374448277229,0
0.3,39.9007809353398,116.3,122.852264059227,0,14.4557149117358,0
0.4,39.9010412471197,116.3,130.273485412303,0,14.273687321755,0
0.5,39.9013015588996,116.3,137.596606765378,0,14.0913650092503,0
0.6,39.9015618706795,116.3,144.821628118454,0,13.9087509591305,0
0.7,39.9018221824595,116.3,151.948549471529,0,13.7258481895724,0
0.8,39.9020824942394,116.3,158.977370824605,0,13.5426597518406,0
0.9,39.9023428060193,116.3,165.908092177681,0,13.3591887300994,0
1,39.9026031177992,116.3,172.740713530756,0,13.1754382412155,0
1.1,39.9028634295792,116.3,179.475234883832,0,12.9914114345522,0
1.2,39.9031237413591,116.3,186.111656236907,0,12.8071114917552,0
1.3,39.903384053139,116.3,192.649977589983,0,12.6225416265297,0
1.4,39.9036443649189,116.3,199.090198943059,0,12.4377050844084,0
1.5,39.9039046766989,116.3,205.432320296134,0,12.2526051425113,0
1.6,39.9041649884788,116.3,211.67634164921,0,12.0672451092968,0
1.7,39.9044253002587,116.3,217.822263002286,0,11.8816283243039,0
1.8,39.9046856120386,116.3,223.870084355361,0,11.695758157886,0
1.9,39.9049459238186,116.3,229.819805708437,0,11.509638010936,0
2,39.9052062355985,116.3,235.671427061512,0,11.3232713146025,0
2.1,39.9054665473784,116.3,241.424948414588,0,11.136661529998,0
2.2,39.9057268591583,116.3,247.080369767664,0,10.949812147898,0
2.3,39.9059871709383,116.3,252.637691120739,0,10.7627266884322,0
2.4,39.9062474827182,116.3,258.096912473815,0,10.5754087007661,0
2.5,39.9065077944981,116.3,263.458033826891,0,10.3878617627756,0
2.6,39.906768106278,116.3,268.721055179966,0,10.200089480712,0
2.7,39.907028418058,116.3,273.885976533042,0,10.0120954888595,0
2.8,39.9072887298379,116.3,278.952797886117,0,9.82388344918339,0
2.9,39.9075490416178,116.3,283.921519239193,0,9.63545705097139,0
3,39.9078093533977,116.3,288.792140592269,0,9.4468200104655,0
3.1,39.9080696651777,116.3,293.564661945344,0,9.25797607048647,0
3.2,39.9083299769576,116.3,298.23908329842,0,9.06892900005003,0
3.3,39.9085902887375,116.3,302.815404651496,0,8.87968259397515,0
3.4,39.9088506005174,116.3,307.293626004571,0,8.69024067248442,0
3.5,39.9091109122974,116.3,311.673747357647,0,8.50060708079663,0
3.6,39.9093712240773,116.3,315.955768710722,0,8.31078568871164,0
3.7,39.9096315358572,116.3,320.139690063798,0,8.12078039018759,0
