Time_s,Phi_query_deg,Theta_query_deg
9.2,180,92.0527334414826
9.3,180,92.0309142368531
9.4,180,92.0095538130211
9.5,180,91.9886378564741
9.6,180,91.968152642762
9.7,180,91.9480850065149
9.8,180,91.928422313272
9.9,180,91.9091524329964
10,179.73725612769,91.9362532552464
10.1,179.468184858855,92.0472408868641
10.2,179.20599981293,92.2289944561359
10.3,178.958735481799,92.4688664131101
10.4,178.730652476133,92.7554291104392
10.5,178.523375447929,93.0787814170948
10.6,178.336770790833,93.4305932052774
10.7,178.169598538907,93.8040064118245
10.8,178.019981058036,94.1934681594754
10.9,177.885729652445,94.5945415061687
11,177.764564607023,95.0037195752537
11.1,177.654257437852,95.4182562213964
11.2,177.552717690887,95.8360187164718
11.3,177.458041114176,96.2553635097182
11.4,177.368531581025,96.6750337446727
11.5,177.282705693482,97.0940761044334
11.6,177.199286396563,97.5117741855011
11.7,177.11719001542,97.92759563823
11.8,177.03550973536,98.3411505552851
11.9,176.953497548296,98.7521589176595
12,176.870545985291,99.1604252523118
12.1,176.786170463713,99.565818980251
12.2,176.699992739419,99.9682592222727
12.3,176.611725725136,100.367703076033
12.4,176.521159783731,100.764136583385
12.5,176.428150506195,101.157567774568
12.6,176.332607922398,101.548021310796
12.7,176.234487056248,101.935534354263
12.8,176.133779717627,102.320153379256
12.9,176.030507415527,102.701931704404
13,175.924715276234,103.080927577581
13.1,175.816466854439,103.457202684846
13.2,175.705839731858,103.830820985422
13.3,175.592921806122,104.201847798149
13.4,175.477808181464,104.570349082784
13.5,175.360598581567,104.936390873042
13.6,175.24139521344,105.300038828635
13.7,175.120301019281,105.661357881273
13.8,174.997418260696,106.020411955522
13.9,174.872847386466,106.377263749768
14,174.746686141181,106.731974565887
14.1,174.61902887759,107.08460417871
14.2,174.489966040404,107.435210738245
14.3,174.359583793652,107.783850699055
14.4,174.227963767524,108.130578772249
14.5,174.095182904006,108.475447896399
14.6,173.96131338357,108.818509224295
14.7,173.826422617757,109.159812122982
14.8,173.690573294757,109.499404184901
14.9,173.55382346701,109.837331248271
15,173.416226671583,110.173637425107
15.1,173.277832075511,110.508365135502
15.2,173.138684639574,110.841555146954
15.3,172.998825295054,111.173246617699
15.4,172.858291128948,111.503477143131
15.5,172.717115573936,111.832282804521
15.6,172.575328600043,112.159698219331
15.7,172.432956905552,112.485756592548
15.8,172.290024105202,112.8104897685
15.9,172.146550914115,113.133928282729
16,172.002555326267,113.456101413546
16.1,171.858052786588,113.777037232945
16.2,171.713056356056,114.096762656628
16.3,171.567576869308,114.41530349291
16.4,171.42162308451,114.732684490347
16.5,171.275201825336,115.048929383935
16.6,171.12831811502,115.364060939789
16.7,170.980975302553,115.678100998212
16.8,170.833175181151,115.991070515117
